model,year,transmission,mileage,fuelType,tax,mpg,engineSize
 3 Series,2016,Automatic,51497,Diesel,160,51.4,3
 2 Series,2019,Automatic,4900,Diesel,145,62.8,2
 7 Series,2017,Automatic,19812,Diesel,145,53.3,3
 1 Series,2019,Automatic,7841,Diesel,145,67.3,2
 2 Series,2019,Manual,9806,Petrol,145,40.4,1.5
 6 Series,2017,Automatic,11541,Petrol,145,31,4.4
 2 Series,2019,Automatic,5141,Petrol,145,39.2,1.5
 3 Series,2019,Automatic,7005,Petrol,145,44.8,2
 7 Series,2017,Automatic,20671,Diesel,125,57.6,3
 4 Series,2017,Automatic,30145,Diesel,145,58.9,2
 X1,2019,Automatic,4534,Petrol,145,46.3,1.5
 1 Series,2019,Automatic,5011,Diesel,145,67.3,2
 1 Series,2017,Automatic,9020,Diesel,150,65.7,2
 3 Series,2016,Automatic,26047,Petrol,200,41.5,3
 X3,2016,Automatic,27702,Diesel,145,54.3,2
 4 Series,2017,Manual,39256,Diesel,145,62.8,2
 4 Series,2019,Automatic,296,Petrol,145,48.7,2
 3 Series,2019,Automatic,1517,Diesel,145,64.2,2
 3 Series,2020,Automatic,111,Petrol,145,34.9,3
 1 Series,2019,Automatic,7892,Petrol,145,55.5,1.5
 6 Series,2014,Automatic,29178,Diesel,160,50.4,3
 2 Series,2019,Automatic,4000,Petrol,145,47.9,2
 4 Series,2019,Automatic,4500,Diesel,145,60.1,2
 X2,2019,Automatic,4300,Petrol,145,39.2,2
 5 Series,2019,Automatic,6172,Diesel,145,62.8,2
 8 Series,2019,Automatic,8000,Petrol,145,33.6,3
 3 Series,2020,Automatic,101,Diesel,145,47.9,3
 2 Series,2020,Automatic,101,Petrol,145,47.9,2
 3 Series,2016,Automatic,49620,Diesel,20,74.3,2
 4 Series,2016,Automatic,14408,Petrol,145,48.7,2
 3 Series,2015,Automatic,64797,Diesel,0,74.3,2
 3 Series,2019,Automatic,12777,Diesel,145,53.3,3
 X3,2016,Automatic,43025,Diesel,200,47.9,3
 2 Series,2015,Automatic,22876,Petrol,160,44.1,2
 3 Series,2017,Automatic,6272,Diesel,145,51.4,3
 3 Series,2019,Automatic,11505,Petrol,145,51.4,1.5
 Z4,2019,Automatic,2756,Petrol,145,33.2,3
 5 Series,2019,Automatic,10770,Diesel,145,62.8,2
 3 Series,2015,Manual,57693,Petrol,160,44.1,2
 3 Series,2016,Manual,60465,Diesel,20,68.9,2
 X1,2017,Automatic,13733,Diesel,145,60.1,2
 X1,2017,Manual,54650,Diesel,20,68.9,2
 X3,2019,Automatic,4250,Petrol,145,30.4,2
 3 Series,2017,Automatic,17059,Hybrid,135,134.5,2
 X3,2018,Automatic,9854,Diesel,145,56.5,2
 X1,2016,Automatic,27418,Petrol,160,44.8,2
 4 Series,2016,Automatic,41553,Diesel,160,50.4,3
 1 Series,2016,Manual,41399,Diesel,20,72.4,1.5
 1 Series,2016,Manual,36669,Diesel,0,83.1,1.5
 3 Series,2016,Automatic,53760,Diesel,20,70.6,2
 4 Series,2019,Automatic,4900,Petrol,145,48.7,2
 4 Series,2019,Automatic,4700,Diesel,145,58.9,2
 X3,2019,Automatic,9002,Diesel,145,54.3,2
 4 Series,2019,Automatic,8018,Petrol,145,45.6,2
 X2,2019,Automatic,7971,Diesel,150,58.9,2
 2 Series,2019,Automatic,6127,Diesel,145,49.6,2
 X5,2019,Automatic,6174,Diesel,145,37.7,3
 1 Series,2019,Manual,14735,Diesel,145,78.5,1.5
 4 Series,2017,Automatic,23312,Diesel,145,55.4,3
 3 Series,2017,Automatic,24472,Diesel,30,62.8,2
 3 Series,2017,Automatic,33206,Diesel,160,51.4,3
 4 Series,2016,Automatic,44982,Petrol,145,48.7,2
 4 Series,2016,Manual,26031,Diesel,30,62.8,2
 2 Series,2014,Manual,43960,Diesel,30,62.8,2
 2 Series,2015,Automatic,21062,Petrol,200,43.5,2
 3 Series,2015,Automatic,42199,Diesel,160,49.6,3
 5 Series,2013,Automatic,89693,Diesel,125,57.6,2
 5 Series,2018,Automatic,11162,Diesel,145,60.1,3
 5 Series,2016,Automatic,33689,Diesel,30,62.8,2
 3 Series,2014,Manual,33179,Petrol,200,43.5,2
 3 Series,2017,Manual,28796,Petrol,125,45.6,2
 2 Series,2014,Automatic,29236,Petrol,145,47.1,2
 3 Series,2019,Automatic,6072,Petrol,145,45.6,2
 3 Series,2017,Automatic,26916,Diesel,125,57.6,2
 4 Series,2019,Automatic,8016,Diesel,145,60.1,2
 Z4,2019,Automatic,1682,Petrol,145,38.7,2
 3 Series,2017,Automatic,28580,Diesel,145,51.4,3
 X5,2019,Automatic,4158,Petrol,145,27.2,3
 1 Series,2016,Manual,24877,Diesel,0,83.1,1.5
 4 Series,2017,Automatic,36564,Diesel,145,65.7,2
 X4,2019,Automatic,9793,Diesel,145,42.8,2
 M6,2015,Automatic,28314,Petrol,555,28.5,4.4
 5 Series,2019,Automatic,7999,Petrol,145,50.4,2
 3 Series,2019,Automatic,7951,Petrol,150,47.9,2
 3 Series,2019,Automatic,5109,Petrol,150,42.2,2
 3 Series,2014,Automatic,42686,Diesel,125,60.1,2
 X5,2016,Automatic,36996,Diesel,200,47.1,3
 X5,2016,Automatic,40732,Hybrid,0,85.6,2
 6 Series,2017,Automatic,39890,Diesel,145,49.6,3
 1 Series,2014,Manual,60586,Diesel,125,58.9,2
 1 Series,2012,Manual,58480,Diesel,125,58.9,2
 4 Series,2015,Manual,28334,Diesel,125,58.9,2
 1 Series,2017,Automatic,9078,Diesel,145,72.4,1.5
 1 Series,2016,Automatic,65141,Diesel,0,74.3,2
 1 Series,2013,Manual,32102,Petrol,145,50.4,1.6
 1 Series,2013,Manual,48399,Diesel,30,65.7,2
 3 Series,2016,Automatic,28702,Hybrid,0,134.5,2
 1 Series,2018,Manual,9774,Petrol,145,37.2,1.5
 3 Series,2016,Automatic,32986,Diesel,0,74.3,2
 X1,2017,Manual,51835,Diesel,145,58.9,2
 1 Series,2019,Automatic,7880,Petrol,145,55.5,1.5
 3 Series,2017,Automatic,33642,Diesel,30,64.2,2
 4 Series,2016,Automatic,73740,Diesel,145,55.4,3
 3 Series,2015,Automatic,30585,Petrol,160,45.6,1.6
 2 Series,2014,Automatic,39573,Petrol,260,37.2,3
 3 Series,2018,Automatic,29433,Diesel,145,62.8,2
 5 Series,2015,Automatic,18641,Petrol,200,43.5,2
 5 Series,2015,Automatic,71973,Diesel,30,62.8,2
 5 Series,2018,Automatic,9621,Diesel,145,68.9,2
 1 Series,2015,Automatic,8064,Petrol,235,37.7,3
 X3,2014,Automatic,55147,Diesel,200,47.1,3
 4 Series,2016,Automatic,20986,Diesel,125,60.1,2
 4 Series,2014,Automatic,58488,Diesel,160,50.4,3
 1 Series,2018,Manual,16518,Petrol,145,37.7,1.5
 3 Series,2018,Automatic,22510,Diesel,145,64.2,2
 3 Series,2016,Automatic,25709,Diesel,125,60.1,2
 3 Series,2016,Automatic,47262,Diesel,30,62.8,2
 4 Series,2016,Automatic,21280,Petrol,145,48.7,2
 5 Series,2016,Automatic,28608,Diesel,30,62.8,2
 3 Series,2016,Automatic,45089,Hybrid,0,134.5,2
 3 Series,2018,Automatic,23814,Diesel,145,64.2,2
 1 Series,2017,Manual,32140,Diesel,145,72.4,1.5
 X1,2016,Automatic,18829,Petrol,160,44.8,2
 3 Series,2016,Manual,52713,Diesel,30,64.2,2
 1 Series,2019,Manual,8807,Petrol,145,53.3,1.5
 5 Series,2013,Automatic,60702,Diesel,125,57.6,2
 1 Series,2013,Automatic,52799,Diesel,30,64.2,2
 2 Series,2018,Automatic,18673,Diesel,145,47.1,2
 4 Series,2018,Automatic,9629,Petrol,145,45.6,2
 3 Series,2015,Automatic,29595,Diesel,30,62.8,2
 3 Series,2016,Automatic,72111,Diesel,30,62.8,2
 3 Series,2018,Automatic,4136,Petrol,145,46.3,2
 6 Series,2013,Automatic,43186,Diesel,160,49.6,3
 3 Series,2017,Automatic,31621,Diesel,145,53.3,3
 3 Series,2014,Manual,62714,Diesel,30,62.8,2
 X4,2017,Automatic,68689,Diesel,145,54.3,2
 5 Series,2014,Automatic,67000,Diesel,145,55.4,2
 3 Series,2016,Automatic,41969,Diesel,30,67.3,2
 5 Series,2013,Automatic,58995,Diesel,200,48.7,3
 5 Series,2016,Automatic,33370,Diesel,125,60.1,2
 3 Series,2016,Manual,54662,Diesel,30,67.3,2
 1 Series,2019,Automatic,5553,Petrol,145,55.5,1.5
 3 Series,2013,Manual,46417,Diesel,30,62.8,2
 2 Series,2018,Manual,18483,Petrol,145,50.4,1.5
 X1,2016,Automatic,27673,Diesel,145,55.4,2
 2 Series,2017,Automatic,63039,Hybrid,0,135.5,1.5
 4 Series,2017,Automatic,43290,Diesel,30,65.7,2
 4 Series,2015,Automatic,30401,Diesel,145,53.3,3
 1 Series,2015,Manual,25651,Petrol,125,52.3,1.5
 1 Series,2014,Manual,42169,Petrol,145,50.4,1.6
 3 Series,2015,Automatic,49018,Diesel,20,70.6,2
 1 Series,2018,Automatic,18899,Diesel,145,49.6,2
 3 Series,2013,Automatic,40022,Diesel,30,62.8,2
 1 Series,2016,Manual,43334,Diesel,30,65.7,2
 3 Series,2014,Automatic,31028,Petrol,200,43.5,2
 3 Series,2018,Automatic,19857,Petrol,145,48.7,2
 2 Series,2014,Manual,14264,Petrol,160,44.8,2
 1 Series,2016,Automatic,27986,Diesel,20,70.6,2
 3 Series,2017,Automatic,15873,Diesel,145,54.3,3
 X5,2014,Automatic,47683,Diesel,200,49.6,2
 1 Series,2019,Automatic,14754,Petrol,145,39.8,3
 7 Series,2016,Automatic,26093,Diesel,145,53.3,3
 1 Series,2015,Manual,59828,Diesel,20,72.4,1.5
 X5,2018,Automatic,31016,Diesel,145,47.1,3
 1 Series,2016,Manual,22780,Diesel,0,83.1,1.5
 3 Series,2016,Automatic,48380,Diesel,30,64.2,2
 1 Series,2017,Manual,16002,Petrol,145,52.3,1.5
 1 Series,2018,Automatic,8316,Diesel,145,44.1,2
 1 Series,2015,Manual,17544,Petrol,125,53.3,1.5
 3 Series,2013,Manual,64107,Diesel,30,61.4,2
 4 Series,2017,Automatic,19293,Diesel,145,65.7,2
 1 Series,2015,Automatic,47361,Petrol,235,37.7,3
 5 Series,2016,Automatic,34599,Diesel,30,62.8,2
 X1,2015,Automatic,51526,Diesel,160,52.3,2
 X1,2018,Automatic,11124,Diesel,145,60.1,2
 5 Series,2017,Automatic,35431,Diesel,145,65.7,2
 3 Series,2015,Automatic,62051,Diesel,145,56.5,3
 3 Series,2017,Automatic,29130,Hybrid,135,148.7,2
 X3,2015,Automatic,88187,Diesel,200,47.1,3
 3 Series,2015,Manual,55851,Diesel,20,68.9,2
 3 Series,2016,Manual,18271,Petrol,160,45.6,2
 3 Series,2016,Automatic,72820,Hybrid,0,134.5,2
 3 Series,2013,Automatic,69172,Diesel,20,68.9,2
 2 Series,2015,Manual,48937,Diesel,30,62.8,2
 X3,2013,Manual,67652,Diesel,160,50.4,2
 5 Series,2016,Automatic,68816,Diesel,30,62.8,2
 X6,2013,Automatic,44176,Diesel,300,37.7,3
 X4,2017,Automatic,53888,Diesel,145,47.9,3
 1 Series,2015,Manual,23893,Diesel,0,83.1,1.5
 1 Series,2017,Manual,22072,Diesel,145,65.7,2
 3 Series,2012,Manual,78112,Diesel,30,61.4,2
 1 Series,2015,Manual,53716,Diesel,30,62.8,2
 X1,2017,Manual,66243,Diesel,145,68.9,2
 2 Series,2016,Manual,21752,Petrol,125,52.3,1.5
 5 Series,2017,Automatic,83352,Diesel,145,65.7,2
 1 Series,2015,Manual,31321,Diesel,30,64.2,2
 4 Series,2016,Automatic,30040,Diesel,160,50.4,3
 X1,2014,Automatic,58599,Diesel,160,51.4,2
 4 Series,2017,Automatic,26839,Diesel,30,65.7,2
 1 Series,2016,Manual,47210,Diesel,0,83.1,1.5
 1 Series,2014,Manual,75924,Diesel,30,65.7,2
 5 Series,2018,Automatic,16042,Diesel,145,68.9,2
 5 Series,2016,Automatic,35644,Diesel,20,68.9,2
 X1,2016,Automatic,7390,Petrol,160,44.8,2
 2 Series,2014,Manual,36479,Diesel,125,58.9,2
 1 Series,2019,Automatic,5504,Petrol,145,55.5,1.5
 1 Series,2015,Manual,36713,Diesel,0,78.5,1.5
 1 Series,2016,Automatic,24299,Petrol,235,37.7,3
 4 Series,2014,Manual,50348,Diesel,125,58.9,2
 4 Series,2016,Automatic,31919,Diesel,30,65.7,2
 X1,2017,Automatic,29825,Diesel,145,65.7,2
 1 Series,2018,Automatic,24205,Petrol,145,39.8,3
 X1,2012,Automatic,47152,Diesel,200,45.6,2
 Z4,2009,Automatic,63179,Petrol,300,33.2,2.5
 5 Series,2018,Automatic,20093,Diesel,145,68.9,2
 3 Series,2018,Automatic,22478,Petrol,145,47.9,2
 3 Series,2015,Manual,28656,Petrol,145,47.9,2
 1 Series,2016,Automatic,22190,Diesel,20,68.9,1.5
 2 Series,2015,Manual,32940,Diesel,30,62.8,2
 5 Series,2014,Automatic,35677,Diesel,30,62.8,2
 3 Series,2016,Automatic,46735,Diesel,30,65.7,2
 5 Series,2015,Automatic,76096,Diesel,125,60.1,2
 1 Series,2016,Manual,37549,Diesel,20,70.6,1.5
 1 Series,2012,Manual,70876,Diesel,145,56.5,2
 6 Series,2015,Automatic,40517,Petrol,260,36.2,3
 X5,2016,Automatic,47026,Hybrid,0,85.6,2
 6 Series,2016,Automatic,45360,Diesel,200,49.6,3
 3 Series,2016,Manual,34239,Diesel,20,72.4,2
 6 Series,2015,Automatic,22797,Diesel,160,49.6,3
 3 Series,2013,Automatic,43771,Diesel,30,62.8,2
 6 Series,2008,Automatic,72000,Diesel,260,40.9,3
 1 Series,2013,Manual,90000,Diesel,30,65.7,2
 3 Series,2010,Automatic,81000,Diesel,145,53.3,2
 3 Series,2010,Manual,77523,Diesel,30,62.8,2
 1 Series,2013,Manual,70160,Diesel,125,60.1,2
 3 Series,2015,Manual,44000,Diesel,20,68.9,2
 3 Series,2011,Manual,34915,Petrol,165,44.8,2
 3 Series,2018,Automatic,16882,Diesel,145,62.8,2
 3 Series,2013,Manual,37030,Diesel,30,62.8,2
 4 Series,2017,Automatic,38013,Diesel,145,60.1,2
 2 Series,2016,Manual,55272,Diesel,30,64.2,2
 4 Series,2018,Automatic,15307,Diesel,145,52.3,3
 1 Series,2012,Manual,89462,Diesel,30,62.8,2
 1 Series,2012,Manual,54811,Diesel,125,60.1,2
 X4,2016,Automatic,52131,Diesel,150,54.3,2
 1 Series,2014,Manual,48165,Diesel,30,64.2,2
 X1,2013,Automatic,78661,Diesel,165,52.3,2
 3 Series,2011,Manual,72082,Diesel,125,60.1,2
 3 Series,2015,Automatic,64523,Diesel,160,51.4,3
 5 Series,2019,Automatic,20789,Petrol,145,50.4,2
 4 Series,2017,Automatic,14282,Petrol,145,48.7,2
 3 Series,2016,Automatic,27562,Diesel,145,56.5,3
 5 Series,2018,Automatic,9273,Diesel,145,68.9,2
 5 Series,2017,Automatic,10740,Diesel,145,65.7,2
 5 Series,2013,Automatic,89028,Diesel,125,57.6,2
 4 Series,2015,Automatic,46028,Diesel,125,58.9,2
 3 Series,2013,Manual,52438,Diesel,125,60.1,2
 1 Series,2018,Manual,8228,Diesel,145,68.9,2
 2 Series,2016,Manual,43201,Diesel,20,68.9,2
 5 Series,2015,Automatic,89986,Diesel,125,60.1,2
 2 Series,2015,Automatic,78913,Diesel,30,62.8,2
 1 Series,2010,Automatic,75000,Diesel,165,52.3,2
 1 Series,2017,Manual,13000,Petrol,150,52.3,1.5
 1 Series,2015,Manual,55018,Diesel,20,65.7,2
 X1,2016,Automatic,81240,Diesel,30,65.7,2
 5 Series,2015,Automatic,59775,Diesel,30,62.8,2
 1 Series,2013,Manual,67916,Diesel,30,65.7,2
 5 Series,2010,Automatic,94938,Diesel,240,43.5,3
 2 Series,2016,Manual,81145,Diesel,30,62.8,2
 4 Series,2017,Manual,85366,Diesel,145,62.8,2
 5 Series,2016,Automatic,37323,Diesel,125,60.1,2
 2 Series,2015,Automatic,16000,Diesel,30,67.3,2
 5 Series,2018,Automatic,53519,Other,135,156.9,2
 1 Series,2008,Manual,68000,Petrol,150,48.7,1.6
 1 Series,2013,Manual,75323,Petrol,145,49.6,1.6
 1 Series,2013,Manual,85871,Petrol,145,49.6,1.6
 1 Series,2016,Manual,79675,Diesel,0,83.1,1.5
 X1,2017,Automatic,89232,Diesel,145,65.7,2
 1 Series,2015,Manual,62574,Diesel,0,83.1,1.5
 3 Series,2016,Automatic,32731,Hybrid,0,134.5,2
 1 Series,2017,Manual,15770,Diesel,0,83.1,1.5
 4 Series,2015,Automatic,23413,Petrol,235,38.2,3
 5 Series,2016,Automatic,39727,Diesel,125,60.1,2
 Z4,2012,Manual,49289,Petrol,200,41.5,2
 1 Series,2016,Manual,46717,Petrol,125,53.3,1.5
 1 Series,2015,Manual,29550,Petrol,125,53.3,1.5
 1 Series,2017,Manual,30846,Petrol,125,53.3,1.5
 1 Series,2017,Manual,12600,Petrol,125,53.3,1.5
 1 Series,2012,Automatic,96596,Diesel,30,64.2,2
 4 Series,2015,Manual,40276,Diesel,30,67.3,2
 3 Series,2014,Automatic,98381,Diesel,125,60.1,2
 2 Series,2018,Automatic,67062,Diesel,145,51.4,2
 3 Series,2013,Automatic,56000,Diesel,30,62.8,2
 X1,2017,Manual,77484,Diesel,20,68.9,2
 5 Series,2007,Automatic,75000,Diesel,330,35.8,2.5
 X5,2011,Automatic,69987,Diesel,300,37.7,3
 4 Series,2016,Automatic,55381,Diesel,145,53.3,3
 2 Series,2016,Automatic,79983,Diesel,20,68.9,2
 2 Series,2017,Manual,32218,Diesel,145,65.7,1.5
 4 Series,2015,Manual,78217,Diesel,30,67.3,2
 5 Series,2016,Automatic,60337,Diesel,20,68.9,2
 3 Series,2018,Manual,10000,Petrol,150,52.3,1.5
 4 Series,2016,Automatic,21000,Diesel,150,55.4,3
 3 Series,2013,Automatic,48000,Diesel,125,57.6,3
 1 Series,2016,Automatic,26000,Petrol,125,54.3,1.5
 1 Series,2017,Manual,82000,Diesel,150,72.4,1.5
 3 Series,2013,Manual,83000,Diesel,30,61.4,2
 5 Series,2016,Automatic,66652,Diesel,160,51.4,3
 3 Series,2011,Manual,67869,Diesel,125,60.1,2
 1 Series,2009,Manual,79903,Diesel,30,62.8,2
 X5,2017,Automatic,40070,Diesel,205,47.1,3
 3 Series,2012,Automatic,37089,Petrol,160,47.1,2
 3 Series,2017,Manual,59158,Diesel,30,67.3,2
 6 Series,2012,Automatic,50319,Diesel,160,51.4,3
 1 Series,2016,Manual,51727,Petrol,125,52.3,1.5
 X1,2013,Automatic,46217,Diesel,165,52.3,2
 i3,2015,Automatic,59000,Other,0,470.8,0.6
 4 Series,2016,Manual,24083,Petrol,160,46.3,2
 X1,2017,Manual,64235,Diesel,125,60.1,2
 3 Series,2015,Automatic,69002,Diesel,125,60.1,2
 3 Series,2017,Automatic,32997,Diesel,145,67.3,2
 3 Series,2018,Manual,38631,Diesel,145,62.8,2
 1 Series,2013,Automatic,53000,Diesel,30,62.8,2
 2 Series,2016,Manual,46527,Diesel,125,60.1,2
 3 Series,2015,Automatic,89001,Diesel,30,64.2,2
 1 Series,2016,Manual,71000,Diesel,0,83.1,1.5
 3 Series,2016,Manual,76218,Diesel,30,64.2,2
 X5,2016,Automatic,76544,Diesel,200,47.1,3
 3 Series,2017,Manual,65386,Petrol,125,52.3,1.5
 3 Series,2018,Automatic,40739,Diesel,145,64.2,2
 3 Series,2015,Manual,33902,Diesel,30,65.7,2
 1 Series,2016,Manual,39077,Diesel,30,65.7,2
 1 Series,2017,Manual,17724,Diesel,145,83.1,1.5
 1 Series,2013,Automatic,48828,Petrol,235,37.7,3
 3 Series,2016,Automatic,28136,Diesel,145,53.3,3
 4 Series,2016,Automatic,43306,Diesel,160,51.4,3
 3 Series,2015,Automatic,41115,Diesel,165,51.4,3
 5 Series,2014,Automatic,62125,Diesel,150,55.4,2
 X1,2016,Manual,78256,Diesel,20,68.9,2
 Z4,2010,Manual,68090,Petrol,305,33.2,2.5
 3 Series,2018,Automatic,27246,Diesel,145,64.2,2
 3 Series,2017,Automatic,19351,Diesel,145,51.4,3
 3 Series,2014,Automatic,50750,Diesel,125,57.6,2
 1 Series,2018,Automatic,18225,Petrol,145,32.5,3
 X1,2016,Manual,31327,Diesel,125,58.9,2
 X1,2017,Automatic,27753,Diesel,145,65.7,2
 X5,2016,Automatic,34367,Hybrid,0,85.6,2
 4 Series,2016,Automatic,27069,Petrol,165,45.6,2
 X1,2017,Automatic,80591,Diesel,30,65.7,2
 3 Series,2017,Manual,17170,Diesel,150,60.1,2
 1 Series,2014,Manual,55760,Diesel,30,65.7,2
 3 Series,2015,Automatic,42938,Diesel,200,49.6,3
 1 Series,2014,Automatic,53436,Diesel,30,64.2,2
 4 Series,2017,Automatic,44558,Diesel,145,50.4,3
 2 Series,2017,Manual,9369,Diesel,145,60.1,2
 5 Series,2010,Automatic,116882,Diesel,150,54.3,2
 1 Series,2015,Manual,62346,Diesel,0,78.5,1.5
 6 Series,2016,Automatic,62156,Diesel,200,49.6,3
 5 Series,2011,Automatic,84726,Diesel,145,54.3,2
 5 Series,2019,Automatic,10628,Petrol,150,47.9,2
 1 Series,2016,Automatic,52874,Petrol,235,37.7,3
 1 Series,2017,Manual,10624,Diesel,0,83.1,1.5
 3 Series,2015,Automatic,69986,Diesel,145,53.3,3
 X1,2018,Automatic,9365,Petrol,145,44.8,2
 3 Series,2016,Automatic,26108,Diesel,145,53.3,3
 2 Series,2018,Semi-Auto,18323,Diesel,145,56.5,1.5
 5 Series,2012,Automatic,71375,Diesel,125,57.6,2
 4 Series,2018,Automatic,13623,Diesel,145,58.9,2
 3 Series,2016,Manual,32046,Diesel,20,68.9,2
 3 Series,2017,Manual,61093,Petrol,150,45.6,2
 1 Series,2013,Manual,72000,Petrol,305,35.3,3
 X1,2017,Automatic,33124,Diesel,125,60.1,2
 2 Series,2017,Manual,27034,Petrol,150,48.7,1.5
 X2,2019,Manual,4507,Petrol,150,41.5,1.5
 X5,2015,Automatic,54000,Diesel,200,47.1,3
 2 Series,2017,Manual,10874,Petrol,125,50.4,1.5
 1 Series,2016,Manual,38936,Diesel,20,72.4,1.5
 X4,2017,Automatic,41543,Diesel,150,54.3,2
 7 Series,2017,Automatic,27791,Diesel,145,53.3,3
 X1,2018,Automatic,14968,Diesel,150,60.1,2
 3 Series,2016,Manual,19871,Diesel,20,72.4,2
 3 Series,2015,Automatic,43838,Diesel,125,61.4,2
 3 Series,2009,Manual,47125,Diesel,125,58.9,2
 1 Series,2015,Manual,69000,Diesel,30,62.8,2
 1 Series,2010,Manual,83844,Diesel,30,62.8,2
 X3,2016,Automatic,19000,Diesel,150,54.3,2
 X3,2011,Automatic,72000,Diesel,165,50.4,2
 3 Series,2019,Automatic,7438,Petrol,145,42.2,2
 3 Series,2019,Automatic,23150,Diesel,150,52.3,2
 X3,2018,Automatic,13200,Petrol,150,30.4,2
 X1,2018,Automatic,10923,Petrol,150,37.7,2
 2 Series,2019,Automatic,8225,Diesel,150,61.4,2
 2 Series,2018,Automatic,20682,Hybrid,140,135.5,1.5
 X5,2018,Automatic,15245,Diesel,150,47.1,3
 3 Series,2019,Automatic,4879,Petrol,150,41.5,2
 3 Series,2015,Automatic,40528,Diesel,30,62.8,2
 5 Series,2017,Automatic,30141,Diesel,145,60.1,2
 2 Series,2017,Automatic,13311,Petrol,145,61.4,2
 X1,2019,Automatic,7542,Diesel,145,60.1,2
 4 Series,2019,Automatic,10847,Diesel,145,65.7,2
 X1,2019,Automatic,9412,Diesel,145,60.1,2
 4 Series,2019,Automatic,9564,Diesel,145,65.7,2
 X1,2019,Automatic,7032,Diesel,145,60.1,2
 X2,2019,Automatic,2077,Diesel,150,58.9,2
 X3,2015,Automatic,15131,Diesel,150,54.3,2
 3 Series,2016,Automatic,49967,Diesel,30,62.8,2
 X1,2019,Automatic,5217,Diesel,145,60.1,2
 1 Series,2018,Manual,5531,Petrol,145,37.2,1.5
 3 Series,2016,Automatic,46626,Hybrid,0,134.5,2
 5 Series,2019,Automatic,12568,Petrol,145,47.9,2
 2 Series,2017,Automatic,39758,Diesel,145,62.8,2
 5 Series,2019,Automatic,8062,Diesel,145,51.4,3
 1 Series,2017,Automatic,35835,Diesel,150,70.6,2
 1 Series,2019,Automatic,12725,Petrol,145,39.8,3
 X5,2016,Automatic,44316,Hybrid,0,85.6,2
 2 Series,2019,Manual,16606,Petrol,150,52.3,1.5
 Z4,2013,Automatic,35554,Petrol,205,41.5,2
 2 Series,2017,Automatic,21284,Petrol,145,48.7,2
 4 Series,2018,Manual,7621,Diesel,150,62.8,2
 3 Series,2018,Manual,29384,Petrol,145,47.9,2
 1 Series,2019,Automatic,9112,Petrol,145,39.8,3
 3 Series,2014,Manual,47735,Petrol,160,44.8,2
 1 Series,2016,Manual,31319,Diesel,20,72.4,1.5
 5 Series,2013,Automatic,38705,Diesel,125,60.1,2
 X1,2016,Manual,26436,Diesel,20,68.9,2
 3 Series,2017,Automatic,24536,Petrol,145,48.7,2
 X1,2012,Manual,130000,Diesel,160,51.4,2
 X1,2019,Automatic,9469,Diesel,145,60.1,2
 X1,2019,Automatic,10577,Diesel,145,60.1,2
 4 Series,2017,Automatic,29989,Diesel,150,49.6,3
 X5,2015,Automatic,94643,Diesel,205,47.1,3
 1 Series,2014,Manual,131347,Diesel,0,74.3,1.6
 3 Series,2017,Manual,23828,Diesel,145,64.2,2
 1 Series,2016,Manual,81750,Diesel,20,72.4,1.5
 3 Series,2017,Automatic,23123,Petrol,145,54.3,1.5
 3 Series,2004,Manual,133175,Petrol,300,36.2,2
 X3,2012,Automatic,98123,Diesel,160,50.4,2
 1 Series,2015,Manual,21563,Petrol,150,50.4,1.6
 1 Series,2017,Automatic,108000,Petrol,150,47.9,2
 X1,2012,Manual,130000,Diesel,165,51.4,2
 1 Series,2016,Manual,82000,Diesel,0,83.1,1.5
 3 Series,2011,Manual,190000,Diesel,20,68.9,2
 1 Series,2015,Automatic,94000,Diesel,30,62.8,2
 2 Series,2018,Manual,49631,Diesel,145,64.2,2
 3 Series,2015,Automatic,45000,Diesel,160,51.4,3
 X1,2019,Automatic,10576,Diesel,145,60.1,2
 X1,2019,Automatic,9849,Diesel,145,60.1,2
 X1,2019,Automatic,9564,Diesel,145,60.1,2
 4 Series,2019,Automatic,10324,Diesel,145,65.7,2
 4 Series,2013,Automatic,32247,Petrol,160,44.8,2
 6 Series,2014,Automatic,64674,Diesel,160,49.6,3
 4 Series,2015,Automatic,36710,Petrol,265,37.2,3
 3 Series,2008,Automatic,98630,Petrol,240,39.2,3
 2 Series,2020,Manual,1688,Petrol,145,43.5,1.5
 2 Series,2020,Automatic,4597,Petrol,145,36.2,2
 3 Series,2019,Automatic,9991,Diesel,150,43.5,3
 4 Series,2016,Automatic,46545,Diesel,30,65.7,2
 3 Series,2018,Manual,13503,Diesel,145,64.2,2
 3 Series,2016,Manual,52224,Diesel,125,62.8,2
 3 Series,2016,Automatic,36157,Hybrid,0,134.5,2
 1 Series,2014,Automatic,59198,Petrol,235,37.7,3
 X5,2017,Automatic,35032,Diesel,145,47.1,3
 4 Series,2019,Automatic,9189,Diesel,145,65.7,2
 X1,2016,Automatic,21822,Diesel,125,60.1,2
 1 Series,2016,Manual,40428,Diesel,0,78.5,1.5
 1 Series,2014,Manual,47208,Diesel,30,62.8,2
 3 Series,2016,Manual,54788,Diesel,20,68.9,2
 3 Series,2017,Automatic,78446,Hybrid,0,134.5,2
 X1,2016,Automatic,45234,Diesel,125,60.1,2
 3 Series,2016,Automatic,72974,Diesel,160,51.4,3
 6 Series,2016,Automatic,41963,Diesel,160,51.4,3
