model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 3 Series,2016,16698,Manual,14518,Diesel,125,58.9,2
 4 Series,2016,16807,Automatic,39218,Diesel,30,65.7,2
 5 Series,2017,17985,Semi-Auto,29337,Diesel,125,60.1,2
 4 Series,2016,22495,Automatic,13295,Petrol,260,37.2,3
 3 Series,2019,26885,Semi-Auto,11751,Petrol,145,42.2,2
 2 Series,2015,11495,Manual,41388,Diesel,20,74.3,1.5
 4 Series,2016,17785,Automatic,37032,Diesel,125,58.9,2
 4 Series,2015,17495,Semi-Auto,34802,Petrol,235,39.2,3
 2 Series,2017,18950,Automatic,23295,Petrol,200,39.8,3
 X6,2018,33450,Automatic,35706,Diesel,145,47.1,3
 1 Series,2016,10450,Semi-Auto,52562,Diesel,0,78.5,1.5
 4 Series,2014,14450,Manual,27405,Petrol,165,44.8,2
 2 Series,2018,16750,Manual,13052,Diesel,145,64.2,2
 3 Series,2017,20990,Semi-Auto,19842,Diesel,160,51.4,3
 3 Series,2014,10990,Manual,65077,Diesel,30,61.4,2
 X3,2013,5299,Semi-Auto,26000,Diesel,165,50.4,2
 3 Series,2017,18985,Semi-Auto,28173,Hybrid,0,134.5,2
 X1,2018,22995,Automatic,12848,Petrol,145,44.8,2
 2 Series,2018,19995,Automatic,11805,Hybrid,135,135.5,1.5
 5 Series,2017,22995,Automatic,17117,Diesel,145,65.7,2
 3 Series,2015,11750,Semi-Auto,60210,Diesel,125,58.9,2
 4 Series,2018,21990,Semi-Auto,24118,Diesel,150,65.7,2
 4 Series,2014,14750,Semi-Auto,60212,Diesel,125,58.9,2
 1 Series,2013,13990,Semi-Auto,38748,Petrol,235,37.7,3
 5 Series,2018,22990,Automatic,23891,Diesel,145,68.9,2
 5 Series,2018,22750,Semi-Auto,30500,Diesel,145,68.9,2
 3 Series,2014,10450,Manual,51030,Diesel,30,62.8,2
 3 Series,2013,12990,Semi-Auto,54073,Diesel,125,57.6,3
 M4,2017,34950,Semi-Auto,20750,Petrol,300,34,3
 X1,2015,9990,Manual,43877,Diesel,165,51.4,2
 4 Series,2014,14990,Semi-Auto,43000,Diesel,150,56.5,2
 3 Series,2015,13350,Semi-Auto,54695,Diesel,125,58.9,2
 3 Series,2017,13995,Manual,25345,Petrol,150,48.7,2
 5 Series,2014,13995,Semi-Auto,80500,Diesel,125,57.6,2
 6 Series,2017,23750,Automatic,25338,Diesel,200,49.6,3
 3 Series,2015,11490,Automatic,57855,Petrol,200,43.5,2
 X4,2014,17450,Automatic,67975,Diesel,200,47.9,3
 X6,2018,36498,Semi-Auto,4015,Diesel,145,47.1,3
 3 Series,2018,21498,Semi-Auto,20369,Diesel,145,60.1,2
 3 Series,2013,10995,Manual,27000,Diesel,30,61.4,2
 X5,2017,32498,Automatic,22306,Diesel,145,47.1,3
 4 Series,2015,19898,Semi-Auto,21803,Diesel,165,49.6,3
 7 Series,2017,26998,Semi-Auto,34017,Diesel,125,57.6,3
 5 Series,2016,11995,Manual,69850,Diesel,30,65.7,2
 1 Series,2013,8295,Manual,71797,Diesel,30,65.7,2
 3 Series,2018,18995,Semi-Auto,21010,Diesel,150,62.8,2
 6 Series,2016,22495,Semi-Auto,30252,Diesel,200,49.6,3
 3 Series,2017,18495,Semi-Auto,29999,Diesel,145,64.2,2
 4 Series,2017,18495,Automatic,33683,Diesel,30,65.7,2
 X5,2013,21990,Automatic,64979,Diesel,200,45.6,3
 X1,2017,17990,Semi-Auto,36687,Diesel,125,57.6,2
 4 Series,2015,13490,Manual,73581,Diesel,30,62.8,2
 3 Series,2015,13990,Automatic,37087,Diesel,125,61.4,2
 X5,2014,20490,Automatic,38000,Diesel,200,45.6,3
 5 Series,2016,16460,Semi-Auto,32998,Diesel,125,60.1,2
 3 Series,2015,17190,Automatic,34089,Diesel,160,51.4,3
 3 Series,2014,12795,Semi-Auto,63592,Diesel,125,60.1,2
 3 Series,2019,26998,Semi-Auto,14572,Diesel,145,48.7,2
 6 Series,2019,52500,Automatic,9000,Diesel,145,42.2,2
 X1,2017,16995,Semi-Auto,22000,Diesel,145,65.7,2
 X1,2017,14995,Manual,33600,Diesel,150,68.9,2
 X1,2016,17495,Manual,25000,Diesel,125,58.9,2
 5 Series,2014,14995,Semi-Auto,42313,Diesel,145,55.4,3
 X4,2018,33998,Semi-Auto,14777,Diesel,145,42.8,2
 3 Series,2018,26998,Semi-Auto,1426,Petrol,145,41.5,3
 M6,2016,35898,Semi-Auto,26642,Petrol,555,28.5,4.4
 X1,2016,18998,Semi-Auto,26098,Diesel,125,57.6,2
 3 Series,2014,14498,Semi-Auto,41419,Petrol,200,42.2,2
 X1,2017,18898,Semi-Auto,27720,Diesel,125,57.6,2
 X3,2015,20898,Semi-Auto,34104,Diesel,145,54.3,2
 1 Series,2019,21898,Semi-Auto,14720,Diesel,145,67.3,2
 5 Series,2017,22898,Semi-Auto,11303,Diesel,145,65.7,2
 5 Series,2016,10990,Manual,85635,Diesel,30,65.7,2
 4 Series,2016,15790,Semi-Auto,73921,Diesel,160,51.4,3
 4 Series,2015,15990,Automatic,67958,Diesel,160,51.4,3
 5 Series,2016,13695,Automatic,61989,Diesel,20,68.9,2
 4 Series,2016,14495,Manual,43052,Diesel,30,62.8,2
 1 Series,2015,12950,Automatic,31384,Diesel,30,65.7,2
 3 Series,2015,14490,Semi-Auto,55024,Diesel,30,62.8,2
 3 Series,2015,10570,Manual,59020,Diesel,125,57.6,2
 X5,2015,24020,Automatic,69358,Diesel,200,47.1,3
 X3,2014,13995,Semi-Auto,33655,Diesel,165,50.4,2
 3 Series,2015,10000,Manual,85515,Diesel,20,68.9,2
 2 Series,2018,19491,Automatic,7460,Diesel,145,47.1,2
 X3,2014,15590,Automatic,51362,Diesel,145,54.3,2
 X1,2016,17190,Manual,22197,Diesel,125,58.9,2
 1 Series,2017,20998,Semi-Auto,19479,Petrol,200,39.8,3
 1 Series,2017,20998,Semi-Auto,24999,Petrol,200,39.8,3
 2 Series,2015,12198,Manual,22812,Diesel,20,74.3,1.5
 2 Series,2016,19500,Semi-Auto,24790,Petrol,265,37.2,3
 6 Series,2017,25998,Semi-Auto,18895,Diesel,145,51.4,3
 4 Series,2019,29898,Semi-Auto,2145,Diesel,145,58.9,2
 1 Series,2015,14498,Manual,25640,Diesel,30,62.8,2
 1 Series,2019,17898,Semi-Auto,11804,Diesel,145,70.6,2
 3 Series,2019,22898,Semi-Auto,12226,Diesel,145,62.8,2
 3 Series,2019,22198,Semi-Auto,13004,Diesel,145,67.3,2
 1 Series,2016,15998,Semi-Auto,21914,Diesel,30,65.7,2
 2 Series,2019,20898,Automatic,8177,Hybrid,135,148.7,1.5
 3 Series,2015,11990,Semi-Auto,47742,Diesel,30,67.3,2
 3 Series,2018,19940,Automatic,20610,Petrol,145,48.7,2
 3 Series,2019,29998,Semi-Auto,3941,Petrol,145,41.5,2
 1 Series,2017,21998,Semi-Auto,12453,Petrol,145,39.8,3
 3 Series,2017,16098,Manual,26575,Diesel,30,64.2,2
 3 Series,2017,15298,Semi-Auto,42114,Petrol,125,51.4,1.5
 1 Series,2016,12995,Manual,18824,Diesel,20,70.6,2
 5 Series,2018,23750,Automatic,17280,Diesel,145,68.9,2
 3 Series,2017,19999,Semi-Auto,17347,Hybrid,140,134.5,2
 1 Series,2015,12299,Semi-Auto,46242,Diesel,30,62.8,2
 1 Series,2018,16998,Manual,14164,Petrol,145,46.3,2
 1 Series,2016,15998,Semi-Auto,11239,Diesel,20,68.9,1.5
 2 Series,2019,19498,Semi-Auto,5045,Diesel,145,51.4,2
 2 Series,2018,18998,Semi-Auto,7762,Petrol,150,50.4,1.5
 3 Series,2015,13795,Semi-Auto,92308,Diesel,150,54.3,3
 3 Series,2015,12495,Semi-Auto,57209,Diesel,125,61.4,2
 X1,2016,17750,Semi-Auto,47027,Diesel,145,55.4,2
 2 Series,2017,14600,Manual,10511,Diesel,150,68.9,2
 3 Series,2017,17901,Semi-Auto,16965,Petrol,145,46.3,2
 M4,2015,29197,Manual,37538,Petrol,325,32.1,3
 3 Series,2019,25690,Semi-Auto,21544,Petrol,145,42.2,2
 1 Series,2017,14179,Manual,32015,Diesel,145,68.9,2
 3 Series,2016,18656,Semi-Auto,41200,Diesel,150,53.3,3
 2 Series,2019,24690,Automatic,3479,Hybrid,135,113,1.5
 3 Series,2018,21690,Semi-Auto,12008,Petrol,145,48.7,2
 3 Series,2017,15995,Semi-Auto,23715,Diesel,150,65.7,2
 1 Series,2017,20995,Semi-Auto,31544,Petrol,145,39.8,3
 1 Series,2017,20995,Semi-Auto,31544,Petrol,145,39.8,3
 5 Series,2014,11495,Manual,65000,Diesel,125,57.6,2
 X1,2017,17795,Manual,24485,Diesel,125,58.9,2
 5 Series,2013,10495,Semi-Auto,83000,Diesel,125,57.6,2
 X4,2017,22995,Semi-Auto,35000,Diesel,150,54.3,2
 3 Series,2018,16195,Manual,37025,Diesel,150,67.3,2
 3 Series,2015,15695,Semi-Auto,59204,Diesel,200,49.6,3
 4 Series,2017,24000,Semi-Auto,20398,Diesel,145,50.4,3
 4 Series,2017,20387,Semi-Auto,19151,Diesel,145,65.7,2
 4 Series,2016,19737,Semi-Auto,29958,Diesel,30,65.7,2
 4 Series,2017,20910,Semi-Auto,16448,Diesel,145,65.7,2
 4 Series,2017,21170,Semi-Auto,8161,Diesel,145,65.7,2
 1 Series,2016,14015,Manual,34281,Diesel,20,70.6,1.5
 4 Series,2016,19881,Semi-Auto,21972,Diesel,30,65.7,2
 3 Series,2019,25990,Semi-Auto,5714,Diesel,145,52.3,2
 4 Series,2016,16995,Manual,29564,Diesel,30,62.8,2
 X5,2016,32995,Automatic,36804,Diesel,235,42.8,3
 3 Series,2017,16485,Semi-Auto,58081,Diesel,145,64.2,2
 1 Series,2016,10985,Manual,37500,Diesel,20,72.4,1.5
 5 Series,2017,23498,Semi-Auto,17231,Diesel,145,53.3,3
 3 Series,2015,11995,Semi-Auto,52385,Petrol,165,47.1,2
 1 Series,2016,13995,Semi-Auto,42565,Diesel,30,62.8,2
 M6,2016,36995,Semi-Auto,19000,Petrol,555,27.4,4.4
 4 Series,2017,24995,Semi-Auto,13543,Diesel,160,50.4,3
 X5,2015,25995,Automatic,43344,Diesel,200,47.1,3
 4 Series,2015,13495,Manual,42348,Petrol,200,40.4,2
 X5,2015,22995,Automatic,41622,Diesel,200,47.9,3
 2 Series,2018,17630,Semi-Auto,11056,Diesel,145,64.2,2
 M4,2017,33650,Semi-Auto,17834,Petrol,145,34,3
 1 Series,2017,21901,Semi-Auto,4775,Petrol,200,39.8,3
 X2,2019,33250,Semi-Auto,3673,Petrol,145,34,2
 X7,2019,66540,Semi-Auto,3218,Diesel,145,33.6,3
 4 Series,2019,24920,Semi-Auto,3689,Diesel,145,65.7,2
 3 Series,2015,17495,Semi-Auto,38249,Diesel,160,51.4,3
 4 Series,2016,14070,Semi-Auto,49922,Petrol,160,44.1,2
 4 Series,2016,17595,Semi-Auto,22868,Petrol,160,45.6,2
 3 Series,2019,32420,Semi-Auto,103,Diesel,145,52.3,2
 M6,2015,34147,Semi-Auto,34017,Petrol,555,28.5,4.4
 X1,2017,22561,Semi-Auto,17195,Diesel,145,60.1,2
 2 Series,2017,17484,Semi-Auto,34247,Diesel,30,65.7,2
 1 Series,2019,26300,Manual,5446,Diesel,145,53.3,2
 X2,2019,26980,Manual,103,Diesel,145,55.4,2
 X2,2019,32570,Semi-Auto,103,Petrol,145,34,2
 X1,2016,16780,Manual,32383,Diesel,20,68.9,2
 X1,2019,26600,Semi-Auto,5085,Diesel,145,60.1,2
 3 Series,2019,26000,Semi-Auto,4826,Diesel,145,60.1,2
 7 Series,2019,45400,Semi-Auto,2212,Diesel,145,42.2,3
 1 Series,2016,19790,Semi-Auto,15921,Petrol,235,37.7,3
 6 Series,2017,27197,Semi-Auto,6245,Diesel,145,51.4,3
 X3,2016,21480,Semi-Auto,44588,Diesel,200,47.9,3
 4 Series,2017,23890,Semi-Auto,19266,Diesel,145,49.6,3
 i8,2018,57870,Automatic,11278,Hybrid,135,134.5,1.5
 1 Series,2017,22150,Semi-Auto,16798,Petrol,200,39.8,3
 1 Series,2017,21307,Semi-Auto,12969,Petrol,145,39.8,3
 1 Series,2019,30783,Semi-Auto,6499,Petrol,145,34.5,2
 1 Series,2019,25323,Manual,7830,Petrol,145,41.5,1.5
 2 Series,2019,24790,Semi-Auto,2567,Diesel,145,48.7,2
 5 Series,2019,29700,Semi-Auto,3901,Petrol,145,46.3,2
 X2,2019,27197,Semi-Auto,3469,Diesel,145,58.9,2
 X5,2019,44800,Semi-Auto,7030,Diesel,145,37.7,3
 5 Series,2019,32250,Semi-Auto,11432,Diesel,145,51.4,3
 3 Series,2015,17998,Semi-Auto,22358,Diesel,145,56.5,3
 X1,2017,15998,Manual,26055,Diesel,20,68.9,2
 1 Series,2017,15698,Manual,10966,Diesel,150,65.7,2
 X3,2020,52910,Semi-Auto,101,Hybrid,135,5.5,2
 3 Series,2015,16698,Semi-Auto,38399,Diesel,145,56.5,3
 3 Series,2016,17698,Semi-Auto,27840,Hybrid,0,134.5,2
 3 Series,2016,20998,Semi-Auto,20756,Diesel,145,56.5,3
 X1,2016,16798,Automatic,46344,Diesel,145,55.4,2
 5 Series,2014,17080,Automatic,40267,Diesel,200,48.7,3
 5 Series,2016,18810,Semi-Auto,35404,Diesel,160,51.4,2
 4 Series,2020,47550,Semi-Auto,101,Diesel,145,60.1,2
 2 Series,2020,31150,Manual,101,Petrol,145,40.4,1.5
 X4,2020,53630,Semi-Auto,117,Diesel,145,40.9,3
 X5,2020,56270,Semi-Auto,117,Diesel,145,36.7,3
 3 Series,2020,40150,Semi-Auto,319,Petrol,145,42.2,2
 3 Series,2020,53260,Semi-Auto,347,Petrol,145,33.6,3
 X1,2016,16670,Manual,34393,Diesel,125,58.9,2
 7 Series,2014,13840,Automatic,59640,Diesel,160,50.4,3
 3 Series,2017,17880,Automatic,22170,Diesel,145,60.1,2
 1 Series,2017,13480,Manual,16627,Petrol,145,53.3,1.5
 3 Series,2017,20998,Semi-Auto,19822,Diesel,145,53.3,3
 1 Series,2016,16998,Manual,24311,Petrol,300,35.3,3
 3 Series,2015,16698,Semi-Auto,28321,Diesel,145,53.3,3
 5 Series,2017,22998,Automatic,14295,Diesel,145,55.4,2
 X5,2016,33698,Automatic,20708,Diesel,235,42.8,3
 X5,2013,21212,Automatic,51500,Diesel,200,45.6,3
 3 Series,2019,22052,Semi-Auto,10178,Diesel,145,55.4,2
 3 Series,2019,22382,Semi-Auto,10142,Diesel,145,55.4,2
 X2,2019,28226,Automatic,123,Diesel,145,47.9,2
 X2,2019,28608,Automatic,123,Diesel,145,50.4,2
 3 Series,2019,22312,Semi-Auto,7944,Diesel,145,55.4,2
 1 Series,2017,16741,Semi-Auto,30500,Diesel,150,67.3,2
 3 Series,2019,25936,Automatic,5948,Petrol,145,42.2,2
 X2,2019,25936,Automatic,4472,Diesel,145,50.4,2
 3 Series,2019,29356,Automatic,3412,Diesel,145,52.3,2
 1 Series,2017,14502,Semi-Auto,33242,Diesel,20,70.6,2
 7 Series,2018,31322,Semi-Auto,39196,Diesel,145,54.3,3
 4 Series,2019,30804,Semi-Auto,6903,Diesel,145,49.6,3
 X3,2016,21991,Semi-Auto,30057,Diesel,145,54.3,2
 X2,2019,29975,Automatic,123,Diesel,145,48.7,2
 X2,2019,29770,Automatic,123,Diesel,145,48.7,2
 X2,2019,29770,Automatic,123,Diesel,145,48.7,2
 X2,2019,29770,Automatic,123,Diesel,145,48.7,2
 X2,2019,29770,Automatic,123,Diesel,145,48.7,2
 4 Series,2019,29626,Automatic,1938,Petrol,145,41.5,3
 1 Series,2018,17992,Semi-Auto,8846,Petrol,145,37.2,1.5
 1 Series,2018,17912,Semi-Auto,9673,Petrol,145,37.2,1.5
 X1,2019,24480,Manual,2425,Petrol,145,51.4,1.5
 X1,2020,29991,Semi-Auto,2000,Diesel,145,47.9,2
 2 Series,2020,29991,Semi-Auto,1500,Petrol,145,47.9,2
 1 Series,2016,14490,Manual,34944,Diesel,30,62.8,2
 2 Series,2017,17572,Manual,11237,Petrol,145,44.1,2
 4 Series,2015,13242,Manual,71179,Diesel,30,62.8,2
 1 Series,2014,17292,Semi-Auto,35481,Petrol,235,37.7,3
 2 Series,2019,20276,Automatic,4013,Petrol,145,53.3,1.5
 1 Series,2017,19792,Automatic,15867,Diesel,145,61.4,2
 1 Series,2018,17882,Semi-Auto,9993,Petrol,145,37.2,1.5
 X1,2018,24472,Semi-Auto,11253,Diesel,145,60.1,2
 X1,2017,19991,Semi-Auto,19396,Petrol,160,44.8,2
 X3,2019,42763,Semi-Auto,3844,Diesel,145,36.7,3
 1 Series,2019,27720,Manual,123,Diesel,145,53.3,2
 1 Series,2019,32060,Automatic,123,Diesel,145,48.7,2
 X2,2019,28608,Automatic,123,Diesel,145,50.4,2
 2 Series,2019,21796,Automatic,11189,Diesel,145,67.3,2
 X4,2019,34526,Automatic,5744,Diesel,145,42.8,2
 3 Series,2019,33840,Automatic,123,Petrol,145,42.2,2
 X3,2019,38020,Automatic,123,Diesel,145,54.3,2
 X3,2019,37830,Automatic,123,Diesel,145,54.3,2
 1 Series,2019,28000,Automatic,123,Diesel,145,51.4,2
 3 Series,2019,34370,Automatic,123,Diesel,145,50.4,2
 1 Series,2019,26780,Manual,123,Diesel,145,53.3,2
 4 Series,2019,29806,Automatic,1649,Petrol,145,41.5,3
 X4,2019,40016,Automatic,6648,Petrol,145,26.9,3
 1 Series,2017,21972,Automatic,25000,Petrol,145,39.8,3
 X3,2019,31466,Automatic,6070,Diesel,145,54.3,2
 2 Series,2019,22516,Automatic,5215,Petrol,145,47.9,2
 2 Series,2017,14951,Manual,22887,Petrol,145,55.4,1.5
 5 Series,2016,17991,Semi-Auto,30089,Diesel,125,60.1,2
 3 Series,2017,18612,Semi-Auto,25000,Diesel,30,64.2,2
 X2,2019,30266,Automatic,123,Diesel,145,58.9,2
 X2,2019,26930,Semi-Auto,4030,Petrol,145,40.4,2
 2 Series,2019,19420,Manual,4601,Petrol,145,44.1,1.5
 2 Series,2019,21920,Semi-Auto,7060,Diesel,145,49.6,2
 2 Series,2019,24440,Semi-Auto,5639,Diesel,145,49.6,2
 X1,2019,25020,Semi-Auto,5197,Petrol,145,38.2,2
 X6,2018,39589,Semi-Auto,12648,Diesel,145,40.9,3
 3 Series,2019,34280,Automatic,123,Diesel,145,50.4,2
 1 Series,2019,27730,Manual,123,Diesel,145,53.3,2
 3 Series,2019,33910,Automatic,123,Diesel,145,50.4,2
 2 Series,2019,24626,Automatic,123,Diesel,145,49.6,2
 1 Series,2019,26310,Manual,123,Diesel,145,53.3,2
 7 Series,2019,49990,Automatic,123,Diesel,145,44.8,3
 Z4,2019,30990,Semi-Auto,2389,Petrol,145,38.7,2
 X3,2019,30200,Semi-Auto,19915,Petrol,145,30.4,2
 3 Series,2018,21800,Semi-Auto,37052,Diesel,145,51.4,3
 3 Series,2018,24991,Semi-Auto,5243,Diesel,145,56.5,3
 5 Series,2016,15840,Manual,33700,Diesel,125,60.1,2
 X1,2018,18502,Manual,12800,Diesel,145,68.9,2
 4 Series,2019,27003,Manual,123,Diesel,145,62.8,2
 5 Series,2019,35810,Automatic,123,Petrol,145,48.7,2
 X5,2019,53910,Automatic,123,Diesel,145,37.7,3
 X3,2019,38900,Automatic,123,Diesel,145,54.3,2
 X5,2017,31900,Automatic,21379,Diesel,200,47.1,3
 3 Series,2019,36990,Semi-Auto,3501,Diesel,145,47.9,3
 3 Series,2016,17490,Semi-Auto,21804,Diesel,125,60.1,2
 X6,2017,35990,Semi-Auto,3550,Diesel,150,44.8,3
 X2,2018,22960,Semi-Auto,6350,Diesel,150,50.4,2
 2 Series,2018,20870,Semi-Auto,8090,Petrol,150,47.9,2
 7 Series,2017,27100,Semi-Auto,34335,Diesel,145,54.3,3
 X1,2019,27450,Automatic,123,Petrol,145,46.3,1.5
 X1,2019,28410,Automatic,123,Diesel,145,60.1,2
 X3,2019,31276,Automatic,7345,Petrol,145,30.4,2
 X5,2019,44036,Automatic,11436,Diesel,145,37.7,3
 1 Series,2020,26991,Semi-Auto,2000,Diesel,145,57.7,1.5
 X1,2020,29991,Semi-Auto,2000,Diesel,145,40.9,2
 5 Series,2019,31030,Automatic,123,Diesel,145,49.6,2
 X6,2019,64772,Semi-Auto,4193,Petrol,150,26.4,3
 4 Series,2019,22726,Automatic,9987,Diesel,145,65.7,2
 X2,2019,23976,Automatic,999,Petrol,145,38.7,2
 X1,2014,12832,Automatic,33100,Diesel,160,52.3,2
 M5,2019,68930,Automatic,123,Petrol,145,26.9,4.4
 2 Series,2019,24180,Semi-Auto,4001,Diesel,145,47.1,2
 2 Series,2019,22050,Semi-Auto,4488,Petrol,145,39.8,1.5
 2 Series,2019,28861,Automatic,123,Petrol,145,39.8,3
 3 Series,2019,34790,Automatic,123,Diesel,145,50.4,2
 X5,2019,63320,Automatic,123,Diesel,145,33.6,3
 4 Series,2019,30766,Automatic,123,Diesel,145,60.1,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 2 Series,2016,11976,Manual,26089,Petrol,30,55.4,1.5
 1 Series,2020,24852,Manual,1510,Petrol,150,41.5,1.5
 3 Series,2017,17832,Semi-Auto,29943,Diesel,30,64.2,2
 5 Series,2015,18722,Semi-Auto,30000,Diesel,165,51.4,3
 X1,2017,20251,Semi-Auto,14598,Diesel,145,60.1,2
 X5,2019,48440,Automatic,8000,Diesel,145,37.7,3
 X1,2019,27440,Manual,123,Petrol,145,39.8,1.5
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 1 Series,2017,15998,Semi-Auto,32317,Diesel,30,65.7,2
 3 Series,2015,15698,Semi-Auto,47167,Diesel,125,57.6,3
 3 Series,2016,15621,Manual,32927,Diesel,125,60.1,2
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2
 1 Series,2014,11399,Semi-Auto,56926,Diesel,30,64.2,2
 1 Series,2016,11010,Manual,32068,Diesel,20,72.4,1.5
 3 Series,2015,15570,Automatic,53669,Diesel,160,51.4,3
 1 Series,2016,14497,Manual,9574,Diesel,30,62.8,2
 3 Series,2018,18010,Manual,36039,Diesel,145,58.9,2
 1 Series,2015,10499,Manual,60000,Diesel,20,70.6,1.5
 X3,2019,30200,Semi-Auto,17647,Petrol,145,30.4,2
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 X1,2019,28180,Automatic,123,Petrol,145,39.8,1.5
 X1,2019,28190,Automatic,123,Petrol,145,39.8,1.5
 X1,2019,27440,Manual,123,Petrol,145,39.8,1.5
 X1,2019,27440,Manual,123,Petrol,145,39.8,1.5
 4 Series,2019,30331,Automatic,123,Petrol,145,48.7,2
 4 Series,2019,35045,Automatic,123,Diesel,145,50.4,3
 4 Series,2019,29631,Automatic,123,Diesel,145,65.7,2
 4 Series,2019,28088,Automatic,123,Petrol,145,48.7,2
 5 Series,2020,27090,Semi-Auto,3168,Hybrid,145,49.6,2
 4 Series,2019,32810,Automatic,8647,Petrol,145,41.5,3
 X2,2019,25820,Automatic,6106,Diesel,145,61.4,2
 X4,2019,41530,Automatic,4000,Diesel,145,37.2,3
 2 Series,2019,23489,Automatic,123,Diesel,145,65.7,2
 X3,2019,32376,Automatic,2489,Diesel,145,54.3,2
 5 Series,2019,30890,Automatic,123,Petrol,145,47.9,2
 4 Series,2019,29361,Automatic,123,Diesel,145,65.7,2
 5 Series,2019,29830,Automatic,123,Petrol,145,50.4,2
 X1,2019,23991,Manual,4480,Petrol,145,51.4,1.5
 1 Series,2019,24160,Manual,5181,Petrol,145,41.5,1.5
 1 Series,2019,31070,Automatic,6000,Petrol,145,34.5,2
 1 Series,2020,29980,Semi-Auto,4362,Diesel,145,48.7,2
 4 Series,2016,19742,Semi-Auto,21660,Petrol,160,45.6,2
 5 Series,2014,15532,Semi-Auto,36919,Diesel,125,60.1,2
 X2,2019,25907,Manual,151,Diesel,150,53.3,2
 1 Series,2017,22390,Semi-Auto,18511,Petrol,145,39.8,3
 5 Series,2015,13980,Semi-Auto,29719,Diesel,20,68.9,2
 2 Series,2019,21356,Semi-Auto,15006,Petrol,145,47.9,2
 2 Series,2019,21030,Automatic,7738,Diesel,145,49.6,2
 3 Series,2019,28820,Manual,123,Diesel,145,56.5,2
 2 Series,2019,21858,Manual,123,Diesel,145,61.4,2
 1 Series,2017,20481,Manual,25000,Petrol,145,36.2,3
 5 Series,2017,25372,Semi-Auto,8500,Diesel,145,60.1,2
 4 Series,2020,32148,Semi-Auto,16,Diesel,145,60.1,2
 4 Series,2014,14291,Manual,29000,Petrol,200,40.9,2
 X2,2019,29770,Automatic,123,Diesel,145,48.7,2
 X2,2019,30571,Automatic,123,Diesel,145,58.9,2
 2 Series,2019,23322,Manual,123,Petrol,145,52.3,1.5
 5 Series,2017,20762,Semi-Auto,17590,Diesel,145,68.9,2
 1 Series,2019,26720,Manual,3710,Diesel,145,53.3,2
 2 Series,2019,25260,Semi-Auto,3697,Petrol,145,48.7,2
 X3,2019,56240,Automatic,6000,Petrol,145,24.8,3
 4 Series,2019,24132,Semi-Auto,4000,Diesel,150,65.7,2
 2 Series,2019,23322,Manual,123,Petrol,145,52.3,1.5
 3 Series,2014,14972,Semi-Auto,33287,Diesel,145,55.4,2
 4 Series,2019,29361,Automatic,123,Diesel,145,65.7,2
 4 Series,2019,29361,Automatic,123,Diesel,145,65.7,2
 X2,2019,25526,Semi-Auto,5161,Diesel,145,61.4,2
 5 Series,2019,37220,Automatic,123,Diesel,145,60.1,3
 X2,2019,22790,Automatic,8477,Diesel,145,49.6,2
 3 Series,2019,34370,Automatic,123,Diesel,145,50.4,2
 3 Series,2019,34370,Automatic,123,Diesel,145,50.4,2
 1 Series,2019,27860,Automatic,14147,Diesel,145,51.4,2
 3 Series,2019,35250,Automatic,123,Diesel,145,47.9,3
 2 Series,2019,24269,Automatic,123,Diesel,145,49.6,2
 1 Series,2019,27410,Automatic,123,Diesel,145,51.4,2
 3 Series,2019,37340,Automatic,123,Diesel,145,47.9,3
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5
