ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
8537,C,Ship,6,1,222,8,low,M,2,4914
8538,F,Ship,3,4,251,10,medium,F,2,4336
8539,D,Ship,4,3,239,3,low,M,10,4020
8540,F,Ship,5,4,211,3,low,M,9,4908
8541,A,Ship,3,4,195,10,low,M,5,5950
8542,B,Ship,4,4,224,10,medium,F,9,4149
8543,C,Ship,4,5,144,8,medium,F,2,4956
8544,F,Ship,4,2,167,4,high,M,5,5250
8545,D,Ship,3,1,188,4,medium,F,8,5884
8546,F,Ship,2,4,245,2,medium,F,3,5850
8547,A,Ship,2,5,212,2,high,F,3,4389
8548,B,Ship,3,3,240,3,low,F,5,4888
8549,C,Ship,5,2,226,5,medium,M,5,1323
8550,F,Ship,6,5,278,4,low,M,2,1167
8551,D,Ship,4,2,232,5,medium,F,4,1783
8552,F,Ship,6,3,287,4,low,M,3,1824
8553,A,Ship,4,4,228,5,low,F,1,1788
8554,B,Ship,5,4,232,5,low,M,10,1512
8555,C,Ship,6,5,308,4,low,M,8,1164
8556,F,Ship,7,4,287,4,low,M,9,1667
8557,D,Ship,6,4,246,4,medium,M,3,1852
8558,F,Ship,4,5,262,6,low,M,10,1156
8559,A,Ship,6,1,275,4,low,M,7,1767
8560,B,Ship,5,1,236,5,medium,F,3,1699
8561,C,Ship,5,4,221,6,medium,M,6,1488
8562,F,Ship,5,1,271,5,low,F,5,1869
8563,D,Ship,4,4,229,5,low,M,7,1049
8564,F,Ship,3,2,177,2,high,M,9,4648
8565,A,Ship,3,2,193,2,low,M,3,4799
8566,B,Ship,3,4,165,2,medium,M,1,5745
8567,C,Ship,4,5,183,4,low,M,3,5881
8568,F,Ship,4,2,161,3,low,F,8,4382
8569,D,Ship,2,5,238,2,low,F,6,5325
8570,F,Ship,3,5,191,4,low,M,2,5177
8571,A,Ship,3,1,165,3,low,M,10,5823
8572,B,Ship,3,5,233,2,medium,F,2,4193
8573,C,Ship,4,4,234,2,medium,F,8,5744
8574,F,Ship,4,3,252,3,medium,F,10,5802
8575,D,Ship,3,2,155,3,low,M,1,5731
8576,F,Ship,3,1,269,8,medium,F,4,4290
8577,A,Ship,4,1,224,2,low,F,6,4454
8578,B,Ship,5,4,230,3,medium,M,6,4257
8579,C,Ship,4,5,253,3,low,F,1,5402
8580,F,Ship,5,1,181,3,low,F,3,5118
8581,D,Ship,4,2,233,4,high,F,6,5256
8582,F,Ship,4,4,243,5,medium,M,10,4356
8583,A,Ship,5,5,271,2,medium,M,6,4788
8584,B,Ship,4,3,134,4,low,M,8,4879
8585,C,Ship,3,2,154,10,high,F,8,5811
8586,F,Ship,6,4,222,8,low,F,1,5808
8587,D,Ship,3,5,251,10,medium,M,9,5962
8588,F,Ship,4,5,239,3,low,M,6,5154
8589,A,Ship,5,1,211,3,low,M,7,5594
8590,B,Ship,3,2,195,10,low,F,9,4256
8591,C,Ship,4,5,224,10,medium,F,7,4521
8592,F,Ship,4,4,144,8,medium,M,6,4390
8593,D,Ship,4,1,167,4,high,M,7,5264
8594,F,Ship,3,3,188,4,medium,M,1,4296
8595,A,Ship,2,4,245,2,medium,F,10,5389
8596,B,Ship,2,1,212,2,high,F,8,4128
8597,C,Ship,3,5,240,3,low,F,6,5642
8598,F,Ship,5,1,226,5,medium,M,3,1409
8599,D,Ship,6,3,278,4,low,F,9,1368
8600,F,Ship,4,1,232,5,medium,M,8,1943
8601,A,Ship,6,5,287,4,low,M,8,1465
8602,B,Ship,4,5,228,5,low,M,5,1373
8603,C,Ship,5,5,232,5,low,M,1,1127
8604,F,Ship,6,5,308,4,low,M,4,1202
8605,D,Road,7,1,287,4,low,M,1,1660
8606,F,Road,6,5,246,4,medium,M,2,1581
8607,A,Road,4,1,262,6,low,F,3,1830
8608,B,Road,6,5,275,4,low,F,6,1872
8609,C,Road,5,3,236,5,medium,M,10,1630
8610,F,Road,5,2,221,6,medium,M,4,1952
8611,D,Road,5,4,228,5,low,F,9,1549
8612,F,Road,4,5,234,5,low,F,1,1991
8613,A,Road,5,1,242,5,low,M,9,1767
8614,B,Road,7,1,307,4,low,F,8,1339
8615,C,Road,6,3,260,4,low,M,4,1358
8616,F,Road,4,5,239,5,low,M,7,1380
8617,D,Road,6,4,305,4,low,F,1,1384
8618,F,Road,5,2,254,6,low,F,5,1951
8619,A,Road,2,1,258,5,low,F,9,1548
8620,B,Road,5,3,267,6,low,M,10,1027
8621,C,Road,4,2,246,5,low,F,10,1720
8622,F,Road,4,2,246,5,low,M,9,1206
8623,D,Road,4,2,261,5,medium,M,5,1073
8624,F,Road,5,1,239,5,low,F,6,1815
8625,A,Road,5,3,245,5,low,M,8,1471
8626,B,Road,5,3,237,5,medium,F,2,1869
8627,C,Flight,7,3,307,4,low,M,1,1793
8628,F,Flight,5,2,252,5,low,F,10,1568
8629,D,Flight,5,5,225,5,low,M,7,1168
8630,F,Flight,6,4,258,4,low,F,7,1726
8631,A,Flight,7,1,254,4,medium,M,6,1279
8632,B,Flight,5,3,232,5,low,F,1,1835
8633,C,Flight,7,1,255,4,medium,F,3,1450
8634,F,Flight,5,1,235,5,low,F,10,1920
8635,D,Flight,7,5,269,4,medium,M,2,1592
8636,F,Flight,6,2,243,4,low,M,4,1768
8637,A,Flight,7,2,253,4,low,M,1,1294
8638,B,Flight,5,1,266,5,medium,F,2,1798
8639,C,Flight,5,3,154,4,low,F,3,1066
8640,F,Flight,4,3,245,5,low,M,4,1470
8641,D,Flight,4,5,275,5,medium,F,8,1093
8642,F,Flight,6,1,261,4,medium,M,10,1290
8643,A,Flight,4,5,273,5,low,M,2,1441
8644,B,Flight,6,4,303,5,low,M,5,1195
8645,C,Flight,5,1,255,5,low,M,3,1574
8646,F,Flight,4,4,225,5,low,F,1,1476
8647,D,Flight,4,5,233,6,low,M,8,1176
8648,F,Flight,6,1,285,4,low,F,3,1448
8649,A,Ship,5,5,272,4,medium,M,10,1383
8650,B,Ship,7,5,273,4,medium,M,9,1329
8651,C,Ship,4,3,253,6,low,F,4,1788
8652,F,Ship,6,2,279,4,medium,F,4,1148
8653,D,Ship,4,2,235,5,low,M,8,1021
8654,F,Ship,4,1,255,5,low,F,9,1793
8655,A,Ship,7,5,301,4,low,F,7,1727
8656,B,Ship,7,1,245,4,medium,M,4,1653
8657,C,Ship,7,5,265,4,low,F,1,1601
8658,F,Ship,4,4,252,5,medium,M,2,1995
8659,D,Ship,6,1,281,4,medium,M,2,1592
8660,F,Ship,6,2,269,4,medium,F,10,1166
8661,A,Ship,4,2,271,5,medium,M,4,1633
8662,B,Ship,5,2,239,5,medium,F,6,1365
8663,C,Ship,7,5,293,4,low,F,2,1080
8664,F,Ship,4,1,165,5,medium,F,1,4170
8665,D,Ship,3,3,202,4,low,F,9,4917
8666,F,Ship,4,4,201,3,low,F,2,5385
8667,A,Ship,5,5,161,3,low,F,5,4702
8668,B,Ship,5,5,193,3,low,F,3,5037
8669,C,Ship,3,1,152,3,low,M,1,4949
8670,F,Ship,4,4,189,2,medium,M,3,5837
8671,D,Ship,3,1,159,3,low,M,10,4784
8672,F,Ship,5,1,259,3,low,M,1,5725
8673,A,Ship,3,2,224,3,medium,M,8,5869
8674,B,Ship,4,4,172,2,medium,F,3,5538
8675,C,Ship,4,5,148,3,medium,F,5,5216
8676,F,Ship,4,3,274,3,medium,F,8,4276
8677,D,Ship,3,1,207,4,low,F,9,5889
8678,F,Ship,4,5,159,5,medium,F,2,5654
8679,A,Ship,3,1,198,3,low,M,3,4965
8680,B,Ship,4,5,196,2,medium,F,3,5505
8681,C,Ship,5,1,137,2,low,M,9,4580
8682,F,Ship,3,3,192,3,medium,M,4,5479
8683,D,Ship,3,4,214,3,low,F,1,5722
8684,F,Ship,6,3,267,4,medium,M,2,5917
8685,A,Ship,3,5,205,3,medium,F,9,4565
8686,B,Ship,2,4,102,4,medium,F,6,5421
8687,C,Ship,3,2,150,2,medium,M,5,5264
8688,F,Ship,5,1,176,3,low,M,3,5919
8689,D,Ship,3,3,169,3,high,M,1,4647
8690,F,Ship,4,4,151,3,medium,F,5,4732
8691,A,Ship,3,5,243,3,low,M,1,4623
8692,B,Ship,4,2,150,2,low,F,2,5301
8693,C,Ship,4,3,229,2,low,M,6,4226
8694,F,Ship,6,2,164,4,low,M,6,5264
8695,D,Ship,3,5,220,3,low,F,9,5672
8696,F,Ship,3,1,187,3,medium,M,7,4607
8697,A,Ship,5,4,255,3,low,F,1,5775
8698,B,Ship,5,4,252,3,medium,M,2,4162
8699,C,Ship,5,5,242,4,medium,F,2,5359
8700,F,Ship,3,1,162,3,low,M,7,5073
8701,D,Ship,3,2,219,3,medium,M,1,4918
8702,F,Ship,4,2,248,3,low,M,2,5028
8703,A,Ship,4,3,228,3,medium,F,1,5408
8704,B,Ship,4,4,149,2,medium,F,2,5881
8705,C,Ship,3,5,206,3,medium,F,9,5751
8706,F,Ship,3,1,204,3,medium,M,4,4619
8707,D,Ship,5,3,222,4,medium,M,2,4060
8708,F,Ship,3,5,248,2,medium,M,1,4108
8709,A,Ship,3,3,225,3,medium,F,7,4961
8710,B,Ship,3,2,244,2,high,F,9,4142
8711,C,Ship,2,3,184,4,medium,M,3,4719
8712,F,Ship,4,5,223,3,low,M,9,5649
8713,D,Ship,4,2,133,6,medium,F,9,4879
8714,F,Ship,4,3,164,4,medium,M,1,4257
8715,A,Ship,3,5,222,4,medium,F,9,4247
8716,B,Ship,2,1,198,2,low,M,8,4323
8717,C,Ship,5,5,198,3,low,F,5,4754
8718,F,Ship,5,1,193,6,medium,F,4,5964
8719,D,Ship,5,1,149,3,low,F,9,5173
8720,F,Ship,4,4,265,4,medium,F,6,4607
8721,A,Ship,3,3,187,2,low,F,7,4859
8722,B,Ship,4,5,198,2,medium,F,9,4108
8723,C,Ship,3,4,177,3,medium,F,1,4965
8724,F,Ship,5,3,255,4,low,F,5,5870
8725,D,Ship,3,2,141,2,medium,F,7,5231
8726,F,Ship,3,2,180,2,medium,F,4,4758
8727,A,Ship,3,4,254,3,high,M,4,5830
8728,B,Ship,2,3,211,2,medium,M,2,4611
8729,C,Ship,3,4,238,2,medium,M,7,5974
8730,F,Ship,4,4,239,3,medium,M,6,5632
8731,D,Ship,4,3,175,2,medium,M,3,4961
8732,F,Ship,5,2,238,2,low,M,5,5703
8733,A,Ship,6,4,268,4,medium,M,5,4126
8734,B,Ship,4,5,142,2,medium,M,10,5428
8735,C,Ship,3,2,186,2,medium,M,3,5712
8736,F,Ship,4,3,154,3,medium,F,4,4867
8737,D,Ship,4,4,229,2,low,F,9,5672
8738,F,Ship,3,4,264,3,low,M,8,4575
8739,A,Ship,4,3,196,3,medium,F,8,5541
8740,B,Ship,5,2,169,2,medium,M,4,6000
8741,C,Ship,3,5,168,3,low,M,8,5877
8742,F,Road,3,4,226,2,high,F,8,5793
8743,D,Road,5,4,189,2,low,F,4,5575
8744,F,Road,4,4,183,2,low,F,7,4572
8745,A,Road,3,1,228,2,low,F,7,4977
8746,B,Road,3,2,260,2,low,M,7,5553
8747,C,Road,4,2,112,2,medium,F,8,4599
8748,F,Road,5,5,221,3,medium,M,9,5295
8749,D,Road,4,5,258,3,low,M,8,4046
8750,F,Road,4,2,133,3,medium,F,5,5950
8751,A,Road,3,1,139,3,low,F,4,4666
8752,B,Road,5,1,251,4,medium,M,10,5931
8753,C,Road,5,1,258,3,high,M,3,4908
8754,F,Road,4,2,229,2,medium,F,7,4855
8755,D,Road,6,4,220,4,low,M,5,5465
8756,F,Road,5,3,160,3,low,F,10,4416
8757,A,Road,3,1,154,3,medium,M,4,4631
8758,B,Road,5,3,197,5,low,F,1,5581
8759,C,Road,4,4,141,3,low,M,10,4289
8760,F,Road,3,2,199,2,medium,F,7,5531
8761,D,Road,4,3,187,6,low,F,9,5872
8762,F,Road,3,4,136,3,medium,M,6,4631
8763,A,Road,3,4,232,5,medium,M,9,5759
8764,B,Flight,3,2,257,2,low,F,9,5085
8765,C,Flight,4,1,156,2,medium,M,4,5225
8766,F,Flight,3,5,179,3,low,M,2,4913
8767,D,Flight,5,5,182,3,low,F,9,5388
8768,F,Flight,4,4,209,6,low,F,7,4852
8769,A,Flight,5,5,137,3,medium,F,5,4814
8770,B,Flight,5,2,174,5,medium,M,8,4656
8771,C,Flight,3,4,251,3,medium,M,5,5608
8772,F,Flight,5,4,220,2,medium,M,8,5073
8773,D,Flight,3,3,196,4,low,F,9,5631
8774,F,Flight,3,1,162,3,medium,F,10,5726
8775,A,Flight,4,2,242,2,medium,F,8,5243
8776,B,Flight,4,3,226,3,medium,M,10,5305
8777,C,Flight,3,1,101,3,medium,M,7,4275
8778,F,Flight,5,2,226,3,medium,F,1,5451
8779,D,Flight,5,3,280,6,high,M,5,4585
8780,F,Flight,4,2,257,2,high,M,3,4108
8781,A,Flight,5,5,185,5,low,M,5,4078
8782,B,Flight,3,2,199,3,low,F,8,5431
8783,C,Flight,3,2,273,3,high,M,8,5754
8784,F,Flight,4,5,229,4,medium,F,6,4157
8785,D,Flight,3,3,199,3,medium,F,1,4006
8786,F,Ship,3,1,151,3,low,F,7,4072
8787,A,Ship,5,1,213,2,high,F,10,5607
8788,B,Ship,3,4,151,3,medium,F,3,4938
8789,C,Ship,4,2,212,3,low,M,5,5413
8790,F,Ship,4,3,175,3,low,F,9,4840
8791,D,Ship,3,3,182,4,low,F,2,4746
8792,F,Ship,5,2,211,2,medium,F,2,5077
8793,A,Ship,3,1,160,3,medium,F,5,5524
8794,B,Ship,3,5,268,2,medium,F,10,5895
8795,C,Ship,3,5,188,4,medium,M,3,4033
8796,F,Ship,3,2,234,3,medium,M,5,4757
8797,D,Ship,5,1,151,4,low,M,5,4549
8798,F,Ship,3,3,150,2,medium,M,9,4100
8799,A,Ship,3,5,268,3,low,F,6,4172
8800,B,Ship,2,4,248,3,low,F,7,4142
8801,C,Ship,3,3,232,2,medium,F,8,5544
8802,F,Ship,5,2,164,3,medium,F,6,4302
8803,D,Ship,3,3,211,3,medium,M,3,5379
8804,F,Ship,3,5,195,2,medium,F,9,5832
8805,A,Ship,4,5,208,2,low,F,4,5831
8806,B,Ship,3,1,176,2,medium,F,4,5726
8807,C,Ship,5,2,258,3,medium,F,8,4921
8808,F,Ship,4,4,224,3,medium,F,1,4231
8809,D,Ship,4,4,263,3,medium,M,1,5283
8810,F,Ship,3,1,203,10,medium,F,7,5917
8811,A,Ship,4,4,266,7,medium,F,10,5901
8812,B,Ship,6,1,189,3,medium,F,9,5316
8813,C,Ship,3,1,242,8,medium,F,8,5401
8814,F,Ship,4,2,265,4,medium,F,3,4120
8815,D,Ship,3,2,138,10,low,M,1,5721
8816,F,Ship,4,4,268,3,low,F,9,4118
8817,A,Ship,4,3,211,7,high,M,9,5652
8818,B,Ship,6,3,137,8,low,F,6,5992
8819,C,Ship,4,5,234,5,low,F,2,1087
8820,F,Ship,5,4,242,5,low,M,1,1571
8821,D,Ship,7,2,307,4,low,M,8,1551
8822,F,Ship,6,1,260,4,low,F,6,1766
8823,A,Ship,4,4,239,5,low,F,6,1239
8824,B,Ship,6,2,305,4,low,F,9,1567
8825,C,Ship,5,2,254,6,low,M,5,1885
8826,F,Ship,2,1,258,5,low,M,10,1221
8827,D,Ship,5,3,267,6,low,F,8,1421
8828,F,Ship,4,3,246,5,low,M,7,1134
8829,A,Ship,4,3,246,5,low,F,1,1673
8830,B,Ship,4,4,261,5,medium,F,2,1690
8831,C,Ship,5,5,239,5,low,M,6,1887
8832,F,Ship,5,5,245,5,low,M,5,1381
8833,D,Ship,5,1,237,5,medium,F,8,1150
8834,F,Ship,7,3,307,4,low,F,1,1589
8835,A,Ship,5,4,252,5,low,M,2,1847
8836,B,Ship,5,2,225,5,low,M,5,1015
8837,C,Ship,6,4,258,4,low,M,9,1104
8838,F,Ship,7,5,254,4,medium,F,6,1491
8839,D,Ship,5,1,232,5,low,M,6,1427
8840,F,Ship,7,1,255,4,medium,F,8,1088
8841,A,Ship,5,3,235,5,low,M,4,1990
8842,B,Ship,7,1,269,4,medium,M,4,1118
8843,C,Ship,3,1,211,3,medium,M,1,4889
8844,F,Ship,3,4,195,2,medium,F,10,4031
8845,D,Ship,4,5,208,2,low,M,1,4039
8846,F,Ship,3,5,176,2,medium,F,8,5597
8847,A,Ship,5,1,258,3,medium,F,8,5694
8848,B,Ship,4,3,224,3,medium,F,6,5054
8849,C,Ship,4,3,263,3,medium,M,3,4677
8850,F,Ship,3,5,203,10,medium,F,1,4996
8851,D,Ship,4,4,266,7,medium,M,3,5672
8852,F,Ship,6,3,189,3,medium,F,3,5062
8853,A,Ship,3,1,242,8,medium,M,4,4943
8854,B,Ship,4,2,265,4,medium,F,10,4575
8855,C,Ship,3,1,138,10,low,F,4,4496
8856,F,Ship,4,3,268,3,low,F,10,5998
8857,D,Ship,4,1,211,7,high,M,4,4476
8858,F,Ship,6,4,137,8,low,F,9,4374
8859,A,Ship,4,5,234,5,low,F,3,1469
8860,B,Ship,5,1,242,5,low,F,8,1815
8861,C,Ship,7,1,307,4,low,M,4,1371
8862,F,Ship,6,3,260,4,low,F,1,1775
8863,D,Ship,4,5,239,5,low,M,6,1336
8864,F,Ship,6,2,305,4,low,M,2,1196
8865,A,Ship,5,1,254,6,low,M,1,1021
8866,B,Ship,2,3,258,5,low,F,6,1727
8867,C,Ship,5,1,267,6,low,M,3,1803
8868,F,Ship,4,5,246,5,low,F,2,1024
8869,D,Ship,4,3,246,5,low,M,5,1395
8870,F,Ship,4,4,261,5,medium,F,2,1829
8871,A,Ship,5,3,239,5,low,M,10,1784
8872,B,Ship,5,5,245,5,low,M,10,1289
8873,C,Ship,5,3,237,5,medium,F,4,1567
8874,F,Ship,7,1,307,4,low,M,2,1983
8875,D,Ship,5,1,252,5,low,M,4,1308
8876,F,Ship,5,4,225,5,low,F,6,2000
8877,A,Ship,6,3,281,4,medium,F,8,1884
8878,B,Ship,6,5,269,4,medium,F,7,1249
8879,C,Road,4,1,271,5,medium,F,3,1328
8880,F,Road,5,2,239,5,medium,F,6,1310
8881,D,Road,7,5,308,4,medium,M,1,1477
8882,F,Road,6,1,256,4,low,F,7,1372
8883,A,Road,4,5,251,5,medium,F,7,1070
8884,B,Road,5,3,270,5,medium,M,9,1764
8885,C,Road,6,4,289,4,low,F,1,1656
8886,F,Road,6,4,253,4,medium,F,6,1961
8887,D,Road,7,3,305,4,medium,F,5,1198
8888,F,Road,3,4,219,6,low,F,2,1837
8889,A,Road,4,1,231,5,medium,F,10,1144
8890,B,Road,6,4,298,4,medium,F,8,1437
8891,C,Road,6,5,282,4,low,M,4,1035
8892,F,Road,5,3,240,5,low,M,4,1389
8893,D,Road,5,2,223,5,medium,F,6,1883
8894,F,Road,4,1,226,5,low,M,9,1530
8895,A,Road,5,5,253,5,low,F,4,1482
8896,B,Road,6,4,249,4,low,M,2,1516
8897,C,Road,6,4,294,4,medium,M,5,1174
8898,F,Road,5,1,225,5,low,M,2,1812
8899,D,Road,6,5,253,4,low,M,2,1893
8900,F,Road,5,1,236,5,medium,M,10,1961
8901,A,Flight,7,2,284,4,low,F,1,1085
8902,B,Flight,5,2,244,5,low,M,1,1875
8903,C,Flight,6,3,269,4,low,F,4,1948
8904,F,Flight,6,5,308,4,low,F,7,1078
8905,D,Flight,6,4,270,4,low,F,10,1698
8906,F,Flight,5,3,238,5,low,M,1,1871
8907,A,Flight,4,5,295,3,low,F,2,1693
8908,B,Flight,2,2,310,3,low,M,1,1549
8909,C,Flight,6,2,290,4,medium,M,1,1111
8910,F,Flight,7,2,288,4,high,M,4,1321
8911,D,Flight,6,5,299,4,low,M,2,1192
8912,F,Flight,6,5,243,4,low,F,6,1898
8913,A,Flight,5,3,229,5,low,F,1,1196
8914,B,Flight,6,2,288,4,medium,M,9,1405
8915,C,Flight,6,3,276,4,low,M,6,1670
8916,F,Flight,7,4,270,4,medium,F,5,1735
8917,D,Flight,4,3,246,5,medium,M,10,1646
8918,F,Flight,5,5,269,5,low,M,5,1742
8919,A,Flight,5,3,241,5,low,F,2,1834
8920,B,Flight,4,4,248,5,medium,M,2,1651
8921,C,Flight,6,2,271,4,medium,M,3,1636
8922,F,Flight,4,5,250,5,medium,M,6,1662
8923,D,Ship,5,5,229,5,medium,M,2,1975
8924,F,Ship,7,3,296,4,low,M,4,1392
8925,A,Ship,6,1,307,4,low,F,3,1977
8926,B,Ship,7,1,258,4,low,F,3,1482
8927,C,Ship,6,2,255,4,medium,F,3,1355
8928,F,Ship,5,3,163,3,medium,M,1,1836
8929,D,Ship,5,5,265,6,low,M,4,1937
8930,F,Ship,4,3,269,5,low,M,2,1273
8931,A,Ship,6,3,273,5,low,M,8,1746
8932,B,Ship,5,5,257,5,low,M,5,1657
8933,C,Ship,6,3,258,4,medium,M,9,1924
8934,F,Ship,5,3,140,5,medium,F,6,1823
8935,D,Ship,5,2,268,5,medium,F,2,1061
8936,F,Ship,6,4,279,4,low,F,5,1241
8937,A,Ship,4,3,225,5,medium,M,3,1224
8938,B,Ship,6,4,296,4,medium,M,5,1782
8939,C,Ship,5,3,162,4,low,F,6,1968
8940,F,Ship,4,3,208,3,medium,F,7,4525
8941,D,Ship,4,2,185,2,medium,F,3,5356
8942,F,Ship,4,4,270,2,medium,F,6,5221
8943,A,Ship,3,1,266,3,low,F,8,4574
8944,B,Ship,4,5,148,2,low,M,2,4883
8945,C,Ship,4,5,201,3,low,F,1,5898
8946,F,Ship,4,1,171,2,medium,F,1,5717
8947,D,Ship,4,3,236,3,low,M,1,4752
8948,F,Ship,4,4,220,3,low,F,4,5622
8949,A,Ship,4,2,161,4,low,F,9,4713
8950,B,Ship,5,1,241,3,low,M,7,5342
8951,C,Ship,5,4,208,2,low,M,9,4569
8952,F,Ship,6,5,150,3,medium,M,3,5747
8953,D,Ship,4,3,233,2,medium,F,3,4748
8954,F,Ship,2,2,98,5,medium,M,10,4368
8955,A,Ship,3,2,271,5,low,M,5,4880
8956,B,Ship,2,2,247,3,low,F,4,4686
8957,C,Ship,3,5,218,4,low,M,4,5330
8958,F,Ship,5,3,182,4,medium,M,5,4770
8959,D,Ship,4,2,261,2,medium,F,4,5926
8960,F,Ship,5,1,167,3,low,M,9,4660
8961,A,Ship,3,3,206,3,low,F,3,5746
8962,B,Ship,6,4,257,6,low,F,7,4265
8963,C,Ship,4,3,185,5,low,F,9,5648
8964,F,Ship,5,2,183,5,high,F,8,4820
8965,D,Ship,5,1,185,3,medium,F,7,4855
8966,F,Ship,3,5,178,3,low,F,7,4135
8967,A,Ship,4,4,258,3,high,M,10,4958
8968,B,Ship,4,1,238,4,medium,F,10,4860
8969,C,Ship,3,2,209,2,low,M,9,5203
8970,F,Ship,2,3,260,2,low,F,1,4547
8971,D,Ship,4,5,247,2,medium,F,9,4656
8972,F,Ship,3,3,261,3,low,M,2,5629
8973,A,Ship,4,5,243,4,low,F,1,5328
8974,B,Ship,5,1,160,4,medium,M,5,5841
8975,C,Ship,5,2,203,2,medium,F,2,4712
8976,F,Ship,3,5,220,4,low,F,5,5677
8977,D,Ship,3,2,233,3,medium,M,7,5838
8978,F,Ship,4,4,101,5,low,F,8,4192
8979,A,Ship,5,4,191,4,low,M,8,4566
8980,B,Ship,3,3,265,3,low,F,10,4093
8981,C,Ship,4,3,249,3,low,M,4,4811
8982,F,Ship,4,4,184,3,low,F,10,5705
8983,D,Ship,5,5,182,3,medium,F,10,5060
8984,F,Ship,5,5,198,2,high,M,3,5249
8985,A,Ship,3,1,110,4,medium,F,6,5474
8986,B,Ship,4,3,268,2,low,F,4,5280
8987,C,Ship,4,3,146,3,medium,F,10,5372
8988,F,Ship,5,2,235,2,low,F,10,4938
8989,D,Ship,5,2,270,3,low,M,3,5266
8990,F,Ship,4,4,174,2,low,F,1,4541
8991,A,Ship,4,2,239,4,low,F,10,5528
8992,B,Ship,3,4,236,4,high,F,9,4744
8993,C,Ship,4,5,162,2,medium,F,9,5345
8994,F,Ship,3,4,260,3,low,F,8,5215
8995,D,Ship,3,1,217,3,low,F,1,4177
8996,F,Ship,5,3,232,3,medium,M,3,4526
8997,A,Ship,4,5,260,3,medium,F,6,4221
8998,B,Ship,4,2,184,3,medium,F,5,5931
8999,C,Ship,5,4,145,4,low,M,4,4790
9000,F,Ship,5,1,189,2,medium,M,10,5248
9001,D,Ship,5,3,150,2,high,F,9,4446
9002,F,Ship,3,3,200,3,low,M,3,5739
9003,A,Ship,5,1,133,2,medium,M,1,4643
9004,B,Ship,4,2,260,3,low,M,4,5504
9005,C,Ship,4,2,195,2,medium,M,10,4640
9006,F,Ship,4,3,245,4,medium,M,4,5940
9007,D,Ship,6,3,166,4,low,M,10,5783
9008,F,Ship,3,5,245,4,low,M,8,5600
9009,A,Ship,6,2,130,5,low,M,3,5654
9010,B,Ship,3,5,204,4,low,M,6,4879
9011,C,Ship,4,2,210,3,low,M,8,5672
9012,F,Ship,3,5,264,4,medium,F,8,4324
9013,D,Ship,5,2,141,2,medium,F,1,4287
9014,F,Ship,3,5,162,3,medium,F,1,4432
9015,A,Ship,4,5,137,2,low,M,6,4055
9016,B,Road,4,3,141,2,low,F,8,4331
9017,C,Road,6,3,127,3,medium,F,7,5574
9018,F,Road,2,2,270,4,low,M,6,5585
9019,D,Road,3,4,185,4,medium,F,6,5322
9020,F,Road,4,1,241,3,low,M,6,5836
9021,A,Road,3,2,124,5,medium,M,10,5348
9022,B,Road,3,4,228,4,medium,M,6,4947
9023,C,Road,5,4,140,3,medium,M,4,4623
9024,F,Road,6,3,192,4,low,M,9,5239
9025,D,Road,4,2,253,5,low,F,3,4676
9026,F,Road,3,4,287,5,medium,F,9,5308
9027,A,Road,3,4,162,5,low,F,1,4240
9028,B,Road,3,4,156,3,low,M,4,4628
9029,C,Road,4,3,187,4,low,M,4,4757
9030,F,Road,6,3,171,3,low,F,1,4952
9031,D,Road,6,2,240,6,low,M,3,5967
9032,F,Road,3,3,250,4,medium,M,1,4717
9033,A,Road,4,5,180,4,high,F,10,5176
9034,B,Road,3,1,242,4,low,M,10,4809
9035,C,Road,3,1,162,4,medium,F,4,5683
9036,F,Road,5,5,210,3,medium,M,8,5906
9037,D,Road,4,1,189,2,medium,M,4,4122
9038,F,Flight,4,5,187,2,low,M,6,4316
9039,A,Flight,4,1,179,2,medium,F,7,4605
9040,B,Flight,2,1,199,2,low,F,10,5345
9041,C,Flight,5,1,158,4,medium,F,4,5687
9042,F,Flight,3,4,181,3,low,M,10,5276
9043,D,Flight,3,5,238,2,low,F,8,5769
9044,F,Flight,5,5,225,4,high,F,3,5274
9045,A,Flight,5,1,172,2,medium,F,3,4892
9046,B,Flight,4,2,199,3,low,M,4,4070
9047,C,Flight,4,4,248,3,high,F,10,4532
9048,F,Flight,3,2,226,3,low,F,5,5484
9049,D,Flight,4,1,177,3,medium,F,6,5215
9050,F,Flight,3,4,238,2,low,M,5,4349
9051,A,Flight,4,5,161,3,low,F,5,4732
9052,B,Flight,2,1,271,3,low,M,1,4537
9053,C,Flight,5,2,254,3,medium,F,8,5892
9054,F,Flight,4,2,238,2,low,M,1,5229
9055,D,Flight,5,5,169,3,medium,M,2,5942
9056,F,Flight,3,3,168,2,high,M,10,5334
9057,A,Flight,2,5,243,3,high,M,7,4486
9058,B,Flight,4,5,195,3,medium,M,7,4835
9059,C,Flight,3,2,227,3,high,M,5,4167
9060,F,Ship,3,2,199,3,medium,F,10,5768
9061,D,Ship,3,2,160,3,low,F,7,4468
9062,F,Ship,2,2,160,6,medium,F,9,4972
9063,A,Ship,4,4,251,4,low,F,10,5984
9064,B,Ship,6,2,225,4,low,M,6,5787
9065,C,Ship,4,3,260,4,low,F,5,5307
